Trends in Number of COVID-19 Vaccinations in the US
Date generated: Sun May 23 2021 12:46:33 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2021-02-11,LTC,159951,62539,96095,5732279,4111693,1581259,67574,148406,79550,null,null,96095,4111693,1581260,79549
Admin,2021-02-12,US,2494302,1350744,1111913,58195583,41311330,16005638,965812,1730184,744574,null,null,1111997,41311330,16007504,744632
Report,2021-02-12,US,null,null,null,null,null,null,null,null,null,2020288,1655907,null,null,null,null
Admin,2021-02-12,LTC,171574,84298,86178,5903853,4195991,1667437,63844,143116,78057,null,null,86178,4195991,1667438,78057
Admin,2021-02-13,US,1426762,849117,558157,59622345,42160447,16563795,966911,1753641,766525,null,null,558205,42160447,16565709,766584
Report,2021-02-13,US,null,null,null,null,null,null,null,null,null,2231326,1657703,null,null,null,null
Admin,2021-02-13,LTC,85415,42609,42325,5989268,4238600,1709762,61263,139445,77011,null,null,42325,4238600,1709763,77011
Admin,2021-02-14,US,565844,334884,221009,60188189,42495331,16784804,975233,1772512,776695,null,null,221021,42495331,16786730,776753
Report,2021-02-14,US,null,null,null,null,null,null,null,null,null,2242472,1667631,null,null,null,null
Admin,2021-02-14,LTC,53861,25035,28022,6043129,4263635,1737784,60529,137778,76044,null,null,28022,4263635,1737785,76043
Admin,2021-02-15,US,1124022,600345,503457,61312211,43095676,17288261,943934,1717929,753339,null,null,503532,43095676,17290262,753400
Report,2021-02-15,US,null,null,null,null,null,null,null,null,null,1376214,1691850,null,null,null,null
Admin,2021-02-15,LTC,105802,38401,66653,6148931,4302036,1804437,55546,129779,73120,null,null,66653,4302036,1804438,73120
Admin,2021-02-16,US,1570595,788265,757989,62882806,43883941,18046250,910726,1672032,739968,null,null,758043,43883941,18048305,740027
Report,2021-02-16,US,null,null,null,null,null,null,null,null,null,959794,1716311,null,null,null,null
Admin,2021-02-16,LTC,113400,42346,70097,6262331,4344382,1874534,50908,121781,69828,null,null,70097,4344382,1874535,69828
Admin,2021-02-17,US,1907049,923275,959029,64789855,44807216,19005279,870970,1628860,735968,null,null,959102,44807216,19007407,736028
Report,2021-02-17,US,null,null,null,null,null,null,null,null,null,1061463,1644551,null,null,null,null
Admin,2021-02-17,LTC,117947,40629,75974,6380278,4385011,1950508,47980,115421,66478,null,null,75974,4385011,1950509,66477
Admin,2021-02-18,US,1786355,821583,935935,66576210,45628799,19941214,809745,1553561,721070,null,null,936018,45628799,19943425,721131
Report,2021-02-18,US,null,null,null,null,null,null,null,null,null,1455940,1621071,null,null,null,null
Admin,2021-02-18,LTC,111714,36784,73354,6491992,4421795,2023862,44300,108530,63229,null,null,73354,4421795,2023863,63229
Admin,2021-02-19,US,1896604,821359,1046465,68472814,46450158,20987679,734118,1468175,711720,null,null,1046623,46450158,20990048,711792
Report,2021-02-19,US,null,null,null,null,null,null,null,null,null,1847276,1596355,null,null,null,null
Admin,2021-02-19,LTC,111993,37375,73203,6603985,4459170,2097065,37597,100018,61375,null,null,73203,4459170,2097066,61375
Admin,2021-02-20,US,1266048,593745,652738,69738862,47043903,21640417,697637,1445216,725232,null,null,652781,47043903,21642829,725302
Report,2021-02-20,US,null,null,null,null,null,null,null,null,null,1704457,1521088,null,null,null,null
Admin,2021-02-20,LTC,60653,19365,40692,6664638,4478535,2137757,34276,96481,61142,null,null,40692,4478535,2137758,61142
Admin,2021-02-21,US,567766,248945,307613,70306628,47292848,21948030,685360,1445491,737604,null,null,307655,47292848,21950484,737679
Report,2021-02-21,US,null,null,null,null,null,null,null,null,null,1801134,1458040,null,null,null,null
Admin,2021-02-21,LTC,42372,12823,29049,6707010,4491358,2166806,32532,94840,61289,null,null,29049,4491358,2166807,61288
Admin,2021-02-22,US,1398936,611395,759549,71705564,47904243,22707579,686938,1484764,774188,null,null,759637,47904243,22710121,774265
Report,2021-02-22,US,null,null,null,null,null,null,null,null,null,1086840,1416701,null,null,null,null
Admin,2021-02-22,LTC,94477,29214,64371,6801487,4520572,2231177,31219,93222,60963,null,null,64371,4520572,2231178,60962
Admin,2021-02-23,US,1866815,859826,972939,73572379,48764069,23680518,697161,1527081,804895,null,null,973022,48764069,23683143,804976
Report,2021-02-23,US,null,null,null,null,null,null,null,null,null,854609,1401674,null,null,null,null
Admin,2021-02-23,LTC,93497,29910,62585,6894984,4550482,2293762,29443,90379,59890,null,null,62585,4550482,2293763,59889
Admin,2021-02-24,US,2425178,1225299,1166355,75997557,49989368,24846873,740307,1601100,834513,null,null,1166484,49989368,24849627,834602
Report,2021-02-24,US,null,null,null,null,null,null,null,null,null,1432864,1454731,null,null,null,null
Admin,2021-02-24,LTC,105466,38075,66602,7000450,4588557,2360364,29078,88596,58551,null,null,66602,4588557,2360365,58550
Admin,2021-02-25,US,2816589,1512667,1262674,78814146,51502035,26109547,839034,1748276,881190,null,null,1262872,51502035,26112499,881296
Report,2021-02-25,US,null,null,null,null,null,null,null,null,null,1809170,1505193,null,null,null,null
Admin,2021-02-25,LTC,110534,42042,67519,7110984,4630599,2427883,29829,88427,57717,null,null,67519,4630599,2427884,57717
Admin,2021-02-26,US,2988729,1647776,1305074,81802875,53149811,27414621,957093,1904294,918135,null,null,1305177,53149811,27417676,918232
Report,2021-02-26,US,null,null,null,null,null,null,null,null,null,2179947,1552717,null,null,null,null
Admin,2021-02-26,LTC,70336,22435,46839,7181320,4653034,2474722,27695,82476,53951,null,null,46839,4653034,2474723,53951
